Station,date,profile_id,Cruise,Latitude,Longitude,Bot. Depth [m],Depth [m],Temperature [°C],Salinity [psu],pH,O2 [ml/l],[%] oxygen saturation,biochemichal oxygen consumption (for 5 days) [ml/l],Si [mkM/l],DIP [mkM/l],DIN [mkM/l],NO2  [mkM/l],NO3  [mkM/l]
1,2019-02-19T00:00:00Z,2019-02-19:Stn1:profile1,GoA_2019,48.311,-128.51366666666667,2300,0,8.2466,32.4427,7.53,NA,NA,NA,8.977500000000001,0.6562000000000001,8.6736,0.351,8.322600000000001
1,2019-02-19T00:00:00Z,2019-02-19:Stn1:profile1,GoA_2019,48.311,-128.51366666666667,2300,25,8.24945,32.4533,NA,NA,NA,NA,10.773000000000001,0.7334,9.0906,0.3315,8.7591
1,2019-02-19T00:00:00Z,2019-02-19:Stn1:profile1,GoA_2019,48.311,-128.51366666666667,2300,50,8.23975,32.4639,NA,NA,NA,NA,10.773000000000001,0.8106000000000001,8.5902,0.3705,8.2197
1,2019-02-19T00:00:00Z,2019-02-19:Stn1:profile1,GoA_2019,48.311,-128.51366666666667,2300,75,7.84845,33.24485,NA,NA,NA,NA,24.111,0.772,22.2956,0.2145,22.0811
1,2019-02-19T00:00:00Z,2019-02-19:Stn1:profile1,GoA_2019,48.311,-128.51366666666667,2300,100,7.8164,33.6403,NA,NA,NA,NA,31.806,0.9264,26.0208,0.2145,25.8063
1,2019-02-19T00:00:00Z,2019-02-19:Stn1:profile1,GoA_2019,48.311,-128.51366666666667,2300,150,7.49155,33.90615,NA,NA,NA,NA,37.7055,1.5054,28.467200000000002,0.195,28.2722
1,2019-02-19T00:00:00Z,2019-02-19:Stn1:profile1,GoA_2019,48.311,-128.51366666666667,2300,200,6.79365,33.91295,NA,NA,NA,NA,43.605000000000004,2.0458,26.966,0.195,26.771
1,2019-02-19T00:00:00Z,2019-02-19:Stn1:profile1,GoA_2019,48.311,-128.51366666666667,2300,400,5.09225,34.03055,NA,NA,NA,NA,74.12849999999999,2.5862000000000003,36.7794,0.1755,36.6039
1,2019-02-19T00:00:00Z,2019-02-19:Stn1:profile1,GoA_2019,48.311,-128.51366666666667,2300,600,4.4566,34.1916,NA,NA,NA,NA,92.0835,2.7405999999999997,34.5276,0.156,34.3716
1,2019-02-19T00:00:00Z,2019-02-19:Stn1:profile1,GoA_2019,48.311,-128.51366666666667,2300,1000,3.50775,34.39755,NA,NA,NA,NA,122.3505,2.8178,38.5864,0.195,38.3914
